"Parent’s age (years)","Parent’s sex","Parent’s education level","Employment status","Family type","Your average household income per month (BDT)","Child’s sex","Child’s age (years)","Number of children","Who is the leading child caregiver at home?","Are grandparents at home involved in treatment decisions when your child is ill?","Antibiotic kills the bacteria(1)"," Amoxicillin is an antibiotic (1)"," Azithromycin is an antibiotic(1)"," Paracetamol is an antibiotic(1)"," Antibiotic kills the virus(1)"," Antibiotics used to treat diarrhoea(1)"," Antibiotics are useful for flu and cough(1)"," Antibiotic resistant bacteria are difficult to treat(1)"," Misuse of antibiotics can lead to antibiotic resistant bacteria(1)"," Antibiotics can cause allergic reactions(1)"," Antibiotics can kill 0rmal flora(1)"," Infectious disease are becoming difficult to treat with antibiotics(1)","Total Knowledge Score","PCT Knowledge"," I will see another doctor if the first one has not been prescribed antibiotics(1)"," I am not satisfied if the doctor does not prescribe an antibiotic to me(1)"," Antibiotics are safe and hence can be used commonly(1)"," Sick child is given antibiotics, even there is no indication(1)"," Antibiotics can improve fever in children(1)","A child with cold is given antibiotics(1)","I stop antibiotics when my child condition improves(1)","I reusing the same antibiotics for similar symptoms(1)","Leftover antibiotics are good to keep at home in case I might need them for my child later on(1)","Doctors often take time to inform parents how antibiotics should be used for their children(1)","Total Attitude Score","PCT Attitude"," I give my children antibiotics(1)"," I check expiring date of antibiotic before giving to children(1)"," I seek medical advice before giving antibiotic to my children(1)"," I give my children antibiotics when they get cough(1)"," I like to take antibiotic from pharmacy instead of taking from doctor(1)"," My child should complete a given dose, even he improve after 2 dose(1)","Total Practice Score","PCT Practice","Source(s) of information about antibiotics","Information provided by pharmaceutical companies leaflet","Information from prescribers","Information from dispensers","Information from nurses","Information given by a colleague","Information from University courses","Internet","Social media","Others...55","Why would you give your child antibiotics without a physician's advice? (You can choose more than one)","I thought that my child's condition was not severe enough","I didn't have enough time to visit a doctor","I didn't have enough money to pay for the hospital visit","Lack of hospitals in the nearest place","It is convenient to purchase antibiotics from retail pharmacies","Lack of trust in medical service","No confidence with doctor's medication","Easier to apply previous prescription","Suggestions from others","Knowledge of antibiotics","I don't give antibiotics without doctor's consultation","Others...68","Knowledge_Level","Attitude_Level","Practice_Level","Practice_Level_Code"
"36–45","Male","Secondary","Self employed","Extended family","High (greater than 50000 BDT)","Male",">?10","2","Mother","Always",1,0,0,1,0,1,0,1,1,0,1,0,6,50,1,1,1,0,1,1,0,1,1,0,7,70,1,1,0,1,1,1,5,83.33,"Internet",0,0,0,0,0,0,1,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Moderate","Uncertain","Good",1
"36–45","Male","Secondary","Employed","Extended family","Middle (less than 50000 BDT)","Male",">?10","2","Mother","Always",1,0,0,1,0,0,0,1,1,0,0,0,4,33.33,1,1,1,0,1,1,0,1,1,0,7,70,1,1,0,1,1,1,5,83.33,"Internet",0,0,0,0,0,0,1,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Uncertain","Good",1
"36–45","Male","Secondary","Self employed","Extended family","High (greater than 50000 BDT)","Male",">?10",">= 3","Mother","Always",1,0,0,1,0,1,0,1,1,1,1,0,7,58.33,1,1,1,0,1,1,0,1,1,0,7,70,1,0,1,1,1,0,4,66.67,"Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Moderate","Uncertain","Misuse",2
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male",">?10","2","Mother","Never",1,0,1,1,0,0,0,1,0,1,1,0,6,50,1,1,1,1,0,0,0,1,1,1,7,70,0,1,1,0,1,1,4,66.67,"Internet",0,0,0,0,0,0,1,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Moderate","Uncertain","Misuse",2
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female",">?10","2","Mother","Never",1,1,1,1,0,1,0,1,1,1,0,0,8,66.67,1,1,1,1,0,0,1,1,1,1,8,80,0,1,1,1,1,1,5,83.33,"Internet",0,0,0,0,0,0,1,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Good","Positive","Good",1
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Male",">?10","2","Mother","Often",1,1,1,1,0,0,0,1,1,1,1,1,9,75,1,1,1,1,0,0,1,1,1,1,8,80,0,1,1,0,1,0,3,50,"Internet",0,0,0,0,0,0,1,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Good","Positive","Misuse",2
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Sometimes",0,0,0,1,0,1,1,0,1,1,0,0,5,41.67,1,1,1,0,0,0,1,1,1,0,6,60,0,1,1,1,1,1,5,83.33,"Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Moderate","Uncertain","Good",1
"36–45","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Female",">?10",">= 3","Mother","Never",0,1,1,1,0,1,0,1,1,0,1,0,7,58.33,1,1,1,0,0,0,1,1,1,1,7,70,0,1,1,1,1,1,5,83.33,"Internet",0,0,0,0,0,0,1,0,0,"Knowledge of antibiotics I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,1,1,0,"Moderate","Uncertain","Good",1
">?45","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female",">?10","1","Mother","Often",0,1,1,1,0,0,0,1,1,0,1,0,6,50,1,1,1,0,1,0,1,1,1,1,8,80,0,1,1,1,1,1,5,83.33,"Internet",0,0,0,0,0,0,1,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Moderate","Positive","Good",1
">?45","Female","Undergraduate","Not employed","Extended family","High (greater than 50000 BDT)","Female",">?10","2","Mother","Often",1,1,1,1,0,1,1,0,1,1,0,1,9,75,1,1,1,0,0,0,1,0,1,0,5,50,0,1,1,1,1,1,5,83.33,"Information from prescribers  Internet",0,1,0,0,0,0,1,0,0,"Knowledge of antibiotics I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,1,1,0,"Good","Uncertain","Good",1
">?45","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Female",">?10","2","Mother","Often",1,0,0,1,0,1,0,1,1,1,0,0,6,50,1,1,1,0,0,0,1,1,1,0,6,60,0,1,1,1,1,1,5,83.33,"Internet",0,0,0,0,0,0,1,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Moderate","Uncertain","Good",1
">?45","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Female",">?10",">= 3","Mother","Never",0,0,0,1,0,0,1,0,0,0,0,0,2,16.67,1,1,1,1,1,1,1,1,1,1,10,100,0,1,1,1,1,1,5,83.33,"Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Positive","Good",1
"<?25","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Never",1,0,0,0,0,1,0,0,0,0,0,0,2,16.67,1,1,0,0,0,0,0,0,0,0,2,20,0,0,1,0,0,1,2,33.33,"Information from prescribers  Information from dispensers  Others",0,1,1,0,0,0,0,0,1,"I thought that my child's condition was not severe enough It is convenient to purchase antibiotics from retail pharmacies Easier to apply previous prescription Suggestions from others",1,0,0,0,1,0,0,1,1,0,0,0,"Poor","Negative","Misuse",2
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",1,0,1,1,0,0,0,0,1,0,0,0,4,33.33,1,0,1,0,0,1,1,0,0,0,4,40,0,0,1,1,0,1,3,50,"Information from prescribers  Information from dispensers  Others",0,1,1,0,0,0,0,0,1,"Suggestions from others Easier to apply previous prescription",0,0,0,0,0,0,0,1,1,0,0,0,"Poor","Negative","Misuse",2
"36–45","Male","Secondary","Self employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Others","Often",1,1,1,1,0,0,0,0,1,0,0,0,5,41.67,1,1,1,1,0,0,1,0,1,0,6,60,1,1,1,1,0,1,5,83.33,"Information from prescribers  Information from dispensers  Internet",0,1,1,0,0,0,1,0,0,"Easier to apply previous prescription Suggestions from others It is convenient to purchase antibiotics from retail pharmacies",0,0,0,0,1,0,0,1,1,0,0,0,"Moderate","Uncertain","Good",1
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",1,0,1,1,0,0,0,0,1,0,0,0,4,33.33,1,0,1,0,0,0,1,0,0,0,3,30,0,0,1,0,0,1,2,33.33,"Information from prescribers  Information from dispensers  Internet  Others",0,1,1,0,0,0,1,0,1,"It is convenient to purchase antibiotics from retail pharmacies Easier to apply previous prescription Suggestions from others Others",0,0,0,0,1,0,0,1,1,0,0,1,"Poor","Negative","Misuse",2
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Never",0,0,0,0,0,1,0,0,0,0,0,0,1,8.33,1,1,1,0,0,0,0,0,0,0,3,30,0,0,0,0,0,1,1,16.67,"Information from prescribers  Information from dispensers  Others",0,1,1,0,0,0,0,0,1,"It is convenient to purchase antibiotics from retail pharmacies Suggestions from others Others",0,0,0,0,1,0,0,0,1,0,0,1,"Poor","Negative","Misuse",2
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Never",1,0,0,1,0,0,0,0,1,0,0,0,3,25,1,1,1,0,0,0,1,0,0,0,4,40,0,0,1,0,0,1,2,33.33,"Information from prescribers  Information from dispensers  Others",0,1,1,0,0,0,0,0,1,"I thought that my child's condition was not severe enough Easier to apply previous prescription It is convenient to purchase antibiotics from retail pharmacies Suggestions from others",1,0,0,0,1,0,0,1,1,0,0,0,"Poor","Negative","Misuse",2
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",1,0,1,1,0,1,0,0,1,0,0,1,6,50,1,0,1,1,0,0,1,1,1,0,6,60,0,0,1,1,0,1,3,50,"Information from prescribers  Others",0,1,0,0,0,0,0,0,1,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Moderate","Uncertain","Misuse",2
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",1,0,1,1,0,0,0,0,1,0,0,0,4,33.33,1,0,1,1,0,0,1,0,0,0,4,40,0,0,1,1,0,1,3,50,"Information from prescribers  Others",0,1,0,0,0,0,0,0,1,"It is convenient to purchase antibiotics from retail pharmacies Suggestions from others Easier to apply previous prescription",0,0,0,0,1,0,0,1,1,0,0,0,"Poor","Negative","Misuse",2
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9",">= 3","Mother","Never",1,0,1,0,0,0,0,0,0,0,0,0,2,16.67,1,0,1,0,0,0,0,0,0,0,2,20,0,0,1,0,0,1,2,33.33,"Information from dispensers  Information from prescribers  Others",0,1,1,0,0,0,0,0,1,"I thought that my child's condition was not severe enough Easier to apply previous prescription Suggestions from others It is convenient to purchase antibiotics from retail pharmacies",1,0,0,0,1,0,0,1,1,0,0,0,"Poor","Negative","Misuse",2
"25–35","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Male",">?10","1","Mother","Never",0,0,0,1,0,0,1,0,0,0,1,0,3,25,1,1,1,1,1,1,1,1,1,1,10,100,1,1,1,1,1,1,6,100,"Social media  Internet  Others  Information from prescribers",0,1,0,0,0,0,1,1,1,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Positive","Good",1
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Often",1,0,0,1,0,1,1,0,1,1,1,0,7,58.33,0,1,1,1,1,1,1,1,1,0,8,80,0,1,1,0,1,1,4,66.67,"Information from prescribers  Others",0,1,0,0,0,0,0,0,1,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Moderate","Positive","Misuse",2
"25–35","Female","Postgraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",0,0,0,0,0,0,1,0,1,0,0,0,2,16.67,1,1,1,1,1,1,1,1,1,1,10,100,1,1,0,1,1,1,5,83.33,"Information from prescribers  Others",0,1,0,0,0,0,0,0,1,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Positive","Good",1
"25–35","Female","Postgraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",0,0,0,1,0,0,0,0,0,0,0,0,1,8.33,1,1,1,1,1,0,1,1,1,1,9,90,0,1,1,1,1,1,5,83.33,"Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Positive","Good",1
"25–35","Female","Secondary","Not employed","Single parent family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",0,0,0,1,0,0,1,0,0,1,0,0,3,25,1,1,1,1,1,1,0,1,1,1,9,90,0,1,1,1,1,0,4,66.67,"Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Positive","Misuse",2
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Always",0,0,0,0,0,0,1,0,0,0,0,0,1,8.33,1,1,1,1,1,0,1,1,1,1,9,90,0,1,1,1,1,1,5,83.33,"Others  Information from prescribers",0,1,0,0,0,0,0,0,1,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Positive","Good",1
"36–45","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","<?5","2","Mother","Always",0,0,0,1,0,0,0,0,0,1,0,0,2,16.67,1,1,1,1,1,0,1,1,1,1,9,90,0,1,1,1,1,1,5,83.33,"Information from prescribers  Others",0,1,0,0,0,0,0,0,1,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Positive","Good",1
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Male","<?5","1","Mother","Never",0,0,0,1,0,0,0,0,0,0,0,0,1,8.33,1,1,1,1,0,0,1,1,1,1,8,80,0,1,1,1,1,1,5,83.33,"Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Positive","Good",1
"36–45","Female","Postgraduate","Employed","Extended family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",0,1,1,0,0,0,0,0,0,1,0,0,3,25,1,1,1,1,1,0,1,1,1,1,9,90,0,1,1,1,1,1,5,83.33,"Information from prescribers  Information from University courses",0,1,0,0,0,1,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Positive","Good",1
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female",">?10","2","Grandmother","Never",0,1,0,1,0,0,0,0,1,0,1,0,4,33.33,1,1,1,1,0,1,1,1,1,1,9,90,0,1,1,0,1,1,4,66.67,"Social media  Internet",0,0,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Positive","Misuse",2
"<?25","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Never",0,0,1,1,0,0,1,0,0,0,0,0,3,25,1,1,1,1,1,1,1,1,1,1,10,100,1,1,1,1,1,1,6,100,"Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Positive","Good",1
"36–45","Female","Undergraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","<?5","2","Mother","Never",1,1,1,1,0,0,0,0,1,0,0,1,6,50,1,1,0,0,0,1,1,1,1,1,7,70,0,1,1,1,1,0,4,66.67,"Information from prescribers  Information from dispensers  Social media",0,1,1,0,0,0,0,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Moderate","Uncertain","Misuse",2
">?45","Male","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Male",">?10","2","Mother","Never",1,1,1,1,1,0,0,1,1,0,1,1,9,75,1,1,0,0,0,1,1,1,1,1,7,70,0,1,1,1,1,0,4,66.67,"Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Good","Uncertain","Misuse",2
"36–45","Male","Undergraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9",">= 3","Mother","Sometimes",1,1,1,1,0,1,0,1,1,0,1,1,9,75,1,1,0,1,0,0,1,1,1,1,7,70,0,1,1,0,1,0,3,50,"Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Good","Uncertain","Misuse",2
"36–45","Male","Undergraduate","Employed","Nuclear family","Low (less than 30000 BDT)","Male","<?5","1","Mother","Never",1,1,1,1,0,0,0,0,1,0,1,0,6,50,1,1,0,1,0,0,1,0,0,1,5,50,0,1,1,0,1,0,3,50,"Information given by a colleague  Information from nurses  Information from dispensers",0,0,1,1,1,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Moderate","Uncertain","Misuse",2
"25–35","Male","Undergraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",1,0,1,1,1,1,0,0,1,0,1,1,8,66.67,1,1,0,0,0,1,1,1,1,1,7,70,0,1,1,0,0,0,2,33.33,"Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0,"Good","Uncertain","Misuse",2
"36–45","Male","Undergraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Sometimes",1,1,1,1,0,0,0,1,1,0,1,0,7,58.33,1,1,0,1,0,1,1,0,1,0,6,60,0,1,1,1,0,0,3,50,"Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0,"Moderate","Uncertain","Misuse",2
"25–35","Female","Undergraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","<?5","1","Mother","Sometimes",1,1,1,1,1,0,0,1,1,0,1,1,9,75,1,1,0,1,0,1,1,1,1,1,8,80,0,1,1,1,1,0,4,66.67,"Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Good","Positive","Misuse",2
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes",0,0,0,0,0,1,0,0,1,0,0,0,2,16.67,1,1,0,1,0,0,0,0,0,1,4,40,0,0,0,0,0,0,0,0,"Information from dispensers  Information from prescribers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough I didn't have enough time to visit a doctor",1,1,0,0,0,0,0,0,0,0,0,0,"Poor","Negative","Misuse",2
"36–45","Female","Primary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female",">?10",">= 3","Mother","Never",1,1,1,1,0,1,0,0,1,0,1,0,7,58.33,1,1,0,1,0,0,1,0,0,1,5,50,0,0,0,0,0,0,0,0,"Information from dispensers  Information from prescribers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough Easier to apply previous prescription",1,0,0,0,0,0,0,1,0,0,0,0,"Moderate","Uncertain","Misuse",2
"36–45","Male","Secondary","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",0,0,0,1,0,0,0,0,0,0,0,0,1,8.33,1,1,0,1,0,0,1,0,0,1,5,50,0,0,0,0,0,0,0,0,"Information from dispensers  Information from prescribers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0,"Poor","Uncertain","Misuse",2
"36–45","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Sometimes",1,0,0,1,0,1,0,0,1,0,0,0,4,33.33,1,1,0,0,0,0,1,0,0,1,4,40,0,0,1,0,0,0,1,16.67,"Information from dispensers  Information from prescribers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough Easier to apply previous prescription",1,0,0,0,0,0,0,1,0,0,0,0,"Poor","Negative","Misuse",2
"36–45","Female","Undergraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",1,0,0,1,0,1,0,0,1,0,1,1,6,50,1,1,0,1,0,0,1,0,0,0,4,40,0,0,1,0,0,1,2,33.33,"Information from dispensers  Information from prescribers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0,"Moderate","Negative","Misuse",2
"36–45","Female","Postgraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Sometimes",1,1,1,1,1,1,0,1,1,0,1,1,10,83.33,1,1,0,1,0,0,1,0,0,1,5,50,0,1,0,0,0,0,1,16.67,"Information from prescribers",0,1,0,0,0,0,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0,"Good","Uncertain","Misuse",2
"36–45","Male","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Sometimes",0,0,0,1,0,0,0,0,1,0,0,1,3,25,1,1,0,1,1,1,1,1,1,1,9,90,0,1,1,0,1,0,3,50,"Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0,"Poor","Positive","Misuse",2
"36–45","Female","Secondary","Employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Sometimes",1,0,0,1,1,1,0,0,1,0,0,1,6,50,1,1,0,1,0,0,0,0,0,1,4,40,0,0,0,0,0,1,1,16.67,"Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0,"Moderate","Negative","Misuse",2
"36–45","Female","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Sometimes",1,0,0,1,0,1,0,1,1,0,1,1,7,58.33,1,1,0,0,0,0,1,0,0,1,4,40,0,1,0,0,0,0,1,16.67,"Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0,"Moderate","Negative","Misuse",2
">?45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male",">?10",">= 3","Mother","Never",1,0,0,1,0,0,0,0,1,0,0,1,4,33.33,1,1,0,0,0,0,1,0,0,1,4,40,0,0,0,0,0,0,0,0,"Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I didn't have enough time to visit a doctor I thought that my child's condition was not severe enough",1,1,0,0,0,0,0,0,0,0,0,0,"Poor","Negative","Misuse",2
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Often",0,0,0,1,0,0,0,0,1,0,0,0,2,16.67,1,1,0,0,0,0,1,0,0,1,4,40,0,0,0,0,0,0,0,0,"Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0,"Poor","Negative","Misuse",2
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Sometimes",1,0,0,1,0,1,0,0,1,0,0,1,5,41.67,1,1,1,1,0,0,0,0,0,1,5,50,0,1,1,1,1,0,4,66.67,"Information from prescribers  Social media",0,1,0,0,0,0,0,1,0,"Lack of trust in medical service I don't give antibiotics without doctor's consultation",0,0,0,0,0,1,0,0,0,0,1,0,"Moderate","Uncertain","Misuse",2
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Sometimes",0,0,0,1,0,1,0,0,1,0,0,0,3,25,1,1,0,1,0,0,1,0,0,1,5,50,0,0,1,0,0,0,1,16.67,"Information from prescribers  Information from dispensers",0,1,1,0,0,0,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0,"Poor","Uncertain","Misuse",2
"25–35","Male","Undergraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","1","Father","Often",0,0,0,0,0,0,0,0,1,1,0,0,2,16.67,1,1,1,1,0,0,0,1,1,0,6,60,0,1,1,1,0,1,4,66.67,"Information from prescribers  Information from University courses  Social media",0,1,0,0,0,1,0,1,0,"I didn't have enough time to visit a doctor",0,1,0,0,0,0,0,0,0,0,0,0,"Poor","Uncertain","Misuse",2
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9",">= 3","Father","Always",0,0,0,1,1,1,0,0,0,0,0,0,3,25,1,1,0,1,0,0,1,1,1,0,6,60,1,1,1,1,1,1,6,100,"Information from University courses  Information from prescribers",0,1,0,0,0,1,0,0,0,"I thought that my child's condition was not severe enough",1,0,0,0,0,0,0,0,0,0,0,0,"Poor","Uncertain","Good",1
"36–45","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female",">?10","2","Father","Often",1,0,0,1,0,0,0,0,0,0,0,0,2,16.67,0,1,0,0,0,0,1,1,0,0,3,30,0,1,1,0,1,1,4,66.67,"Information from prescribers  Internet  Social media",0,1,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Negative","Misuse",2
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Father","Never",0,0,0,0,0,0,0,0,1,0,0,0,1,8.33,0,1,1,0,0,0,1,0,1,0,4,40,1,1,1,1,1,1,6,100,"Information from dispensers  Information from prescribers  Social media  Internet",0,1,1,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Negative","Good",1
"25–35","Female","Primary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Father","Always",1,0,0,0,0,0,0,0,0,1,0,0,2,16.67,1,1,0,0,0,0,1,1,1,0,5,50,0,1,1,1,1,1,5,83.33,"Information from prescribers  Internet  Social media",0,1,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0,"Poor","Uncertain","Good",1
